// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadActual   8: 8388608 op, 39564300.00 ns, 4.7164 ns/op
OverheadActual   9: 8388608 op, 39499500.00 ns, 4.7087 ns/op
OverheadActual  10: 8388608 op, 39393400.00 ns, 4.6961 ns/op
OverheadActual  11: 8388608 op, 39658400.00 ns, 4.7276 ns/op
OverheadActual  12: 8388608 op, 39325000.00 ns, 4.6879 ns/op
OverheadActual  13: 8388608 op, 40789200.00 ns, 4.8625 ns/op
OverheadActual  14: 8388608 op, 39560100.00 ns, 4.7159 ns/op
OverheadActual  15: 8388608 op, 39195400.00 ns, 4.6725 ns/op

WorkloadWarmup   1: 8388608 op, 945608700.00 ns, 112.7253 ns/op
WorkloadWarmup   2: 8388608 op, 944884800.00 ns, 112.6390 ns/op
WorkloadWarmup   3: 8388608 op, 950407100.00 ns, 113.2974 ns/op
WorkloadWarmup   4: 8388608 op, 955550100.00 ns, 113.9104 ns/op
WorkloadWarmup   5: 8388608 op, 958299900.00 ns, 114.2383 ns/op
WorkloadWarmup   6: 8388608 op, 944867300.00 ns, 112.6370 ns/op
WorkloadWarmup   7: 8388608 op, 951680700.00 ns, 113.4492 ns/op
WorkloadWarmup   8: 8388608 op, 946825700.00 ns, 112.8704 ns/op

WorkloadActual   1: 8388608 op, 944633000.00 ns, 112.6090 ns/op
WorkloadActual   2: 8388608 op, 1046616900.00 ns, 124.7665 ns/op
WorkloadActual   3: 8388608 op, 959366100.00 ns, 114.3654 ns/op
WorkloadActual   4: 8388608 op, 965235600.00 ns, 115.0651 ns/op
WorkloadActual   5: 8388608 op, 941792900.00 ns, 112.2705 ns/op
WorkloadActual   6: 8388608 op, 934538400.00 ns, 111.4057 ns/op
WorkloadActual   7: 8388608 op, 937306600.00 ns, 111.7357 ns/op
WorkloadActual   8: 8388608 op, 950447800.00 ns, 113.3022 ns/op
WorkloadActual   9: 8388608 op, 995795100.00 ns, 118.7080 ns/op
WorkloadActual  10: 8388608 op, 965541000.00 ns, 115.1015 ns/op
WorkloadActual  11: 8388608 op, 936476700.00 ns, 111.6367 ns/op
WorkloadActual  12: 8388608 op, 953942000.00 ns, 113.7187 ns/op
WorkloadActual  13: 8388608 op, 936379700.00 ns, 111.6252 ns/op
WorkloadActual  14: 8388608 op, 934709500.00 ns, 111.4261 ns/op
WorkloadActual  15: 8388608 op, 943536100.00 ns, 112.4783 ns/op
WorkloadActual  16: 8388608 op, 936589000.00 ns, 111.6501 ns/op

WorkloadResult   1: 8388608 op, 905097300.00 ns, 107.8960 ns/op
WorkloadResult   2: 8388608 op, 919830400.00 ns, 109.6523 ns/op
WorkloadResult   3: 8388608 op, 925699900.00 ns, 110.3520 ns/op
WorkloadResult   4: 8388608 op, 902257200.00 ns, 107.5574 ns/op
WorkloadResult   5: 8388608 op, 895002700.00 ns, 106.6926 ns/op
WorkloadResult   6: 8388608 op, 897770900.00 ns, 107.0226 ns/op
WorkloadResult   7: 8388608 op, 910912100.00 ns, 108.5892 ns/op
WorkloadResult   8: 8388608 op, 956259400.00 ns, 113.9950 ns/op
WorkloadResult   9: 8388608 op, 926005300.00 ns, 110.3884 ns/op
WorkloadResult  10: 8388608 op, 896941000.00 ns, 106.9237 ns/op
WorkloadResult  11: 8388608 op, 914406300.00 ns, 109.0057 ns/op
WorkloadResult  12: 8388608 op, 896844000.00 ns, 106.9121 ns/op
WorkloadResult  13: 8388608 op, 895173800.00 ns, 106.7130 ns/op
WorkloadResult  14: 8388608 op, 904000400.00 ns, 107.7652 ns/op
WorkloadResult  15: 8388608 op, 897053300.00 ns, 106.9371 ns/op
GC:  46 0 0 872415232 8388608


Mean = 108.4268 ns, StdErr = 0.5191 ns (0.48%); N = 15, StdDev = 2.0105 ns
Min = 106.6926 ns, Q1 = 106.9237 ns, Median = 107.7652 ns, Q3 = 109.6523 ns, Max = 113.9950 ns
IQR = 2.7286 ns, LowerFence = 102.8308 ns, UpperFence = 113.7453 ns
ConfidenceInterval = [106.2775 ns; 110.5761 ns] (CI 99.9%), Margin = 2.1493 ns (1.98% of Mean)
Skewness = 1.35, Kurtosis = 4.2, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 485200.00 ns, 485.2000 us/op
WorkloadJitting  1: 1 op, 346500.00 ns, 346.5000 us/op

OverheadJitting  2: 16 op, 963900.00 ns, 60.2437 us/op
WorkloadJitting  2: 16 op, 1048200.00 ns, 65.5125 us/op

WorkloadPilot    1: 16 op, 21200.00 ns, 1.3250 us/op
WorkloadPilot    2: 32 op, 46600.00 ns, 1.4563 us/op
WorkloadPilot    3: 64 op, 63300.00 ns, 989.0625 ns/op
WorkloadPilot    4: 128 op, 113900.00 ns, 889.8438 ns/op
WorkloadPilot    5: 256 op, 212900.00 ns, 831.6406 ns/op
WorkloadPilot    6: 512 op, 400300.00 ns, 781.8359 ns/op
WorkloadPilot    7: 1024 op, 829600.00 ns, 810.1562 ns/op
WorkloadPilot    8: 2048 op, 1973900.00 ns, 963.8184 ns/op
WorkloadPilot    9: 4096 op, 3190900.00 ns, 779.0283 ns/op
WorkloadPilot   10: 8192 op, 9777400.00 ns, 1.1935 us/op
WorkloadPilot   11: 16384 op, 14629200.00 ns, 892.8955 ns/op
WorkloadPilot   12: 32768 op, 28530600.00 ns, 870.6848 ns/op
WorkloadPilot   13: 65536 op, 56156700.00 ns, 856.8832 ns/op
WorkloadPilot   14: 131072 op, 108378200.00 ns, 826.8600 ns/op
WorkloadPilot   15: 262144 op, 220265600.00 ns, 840.2466 ns/op
WorkloadPilot   16: 524288 op, 458727700.00 ns, 874.9537 ns/op
WorkloadPilot   17: 1048576 op, 884789200.00 ns, 843.8007 ns/op

OverheadWarmup   1: 1048576 op, 4917400.00 ns, 4.6896 ns/op
OverheadWarmup   2: 1048576 op, 4951700.00 ns, 4.7223 ns/op
OverheadWarmup   3: 1048576 op, 4907400.00 ns, 4.6801 ns/op
OverheadWarmup   4: 1048576 op, 5145500.00 ns, 4.9071 ns/op
OverheadWarmup   5: 1048576 op, 4960100.00 ns, 4.7303 ns/op

OverheadActual   1: 1048576 op, 5106300.00 ns, 4.8697 ns/op
OverheadActual   2: 1048576 op, 5134100.00 ns, 4.8963 ns/op
OverheadActual   3: 1048576 op, 4948300.00 ns, 4.7191 ns/op
OverheadActual   4: 1048576 op, 4945200.00 ns, 4.7161 ns/op
OverheadActual   5: 1048576 op, 5020800.00 ns, 4.7882 ns/op
OverheadActual   6: 1048576 op, 4916500.00 ns, 4.6887 ns/op
OverheadActual   7: 1048576 op, 4986700.00 ns, 4.7557 ns/op
OverheadActual   8: 1048576 op, 4923200.00 ns, 4.6951 ns/op
OverheadActual   9: 1048576 op, 4922200.00 ns, 4.6942 ns/op
OverheadActual  10: 1048576 op, 4986200.00 ns, 4.7552 ns/op
OverheadActual  11: 1048576 op, 5825500.00 ns, 5.5556 ns/op
OverheadActual  12: 1048576 op, 5010300.00 ns, 4.7782 ns/op
OverheadActual  13: 1048576 op, 4986900.00 ns, 4.7559 ns/op
OverheadActual  14: 1048576 op, 4948600.00 ns, 4.7194 ns/op
OverheadActual  15: 1048576 op, 4936000.00 ns, 4.7073 ns/op

WorkloadWarmup   1: 1048576 op, 884337400.00 ns, 843.3699 ns/op
WorkloadWarmup   2: 1048576 op, 889610800.00 ns, 848.3990 ns/op
WorkloadWarmup   3: 1048576 op, 887601000.00 ns, 846.4823 ns/op
WorkloadWarmup   4: 1048576 op, 888211800.00 ns, 847.0648 ns/op
WorkloadWarmup   5: 1048576 op, 896490900.00 ns, 854.9603 ns/op
WorkloadWarmup   6: 1048576 op, 884413200.00 ns, 843.4422 ns/op

WorkloadActual   1: 1048576 op, 890219300.00 ns, 848.9793 ns/op
WorkloadActual   2: 1048576 op, 888764700.00 ns, 847.5921 ns/op
WorkloadActual   3: 1048576 op, 899560100.00 ns, 857.8874 ns/op
WorkloadActual   4: 1048576 op, 944466300.00 ns, 900.7133 ns/op
WorkloadActual   5: 1048576 op, 893280700.00 ns, 851.8989 ns/op
WorkloadActual   6: 1048576 op, 891828100.00 ns, 850.5136 ns/op
WorkloadActual   7: 1048576 op, 886359500.00 ns, 845.2983 ns/op
WorkloadActual   8: 1048576 op, 885462200.00 ns, 844.4426 ns/op
WorkloadActual   9: 1048576 op, 882427500.00 ns, 841.5484 ns/op
WorkloadActual  10: 1048576 op, 892254000.00 ns, 850.9197 ns/op
WorkloadActual  11: 1048576 op, 883460700.00 ns, 842.5338 ns/op
WorkloadActual  12: 1048576 op, 908822900.00 ns, 866.7211 ns/op
WorkloadActual  13: 1048576 op, 889308300.00 ns, 848.1105 ns/op
WorkloadActual  14: 1048576 op, 881873800.00 ns, 841.0204 ns/op
WorkloadActual  15: 1048576 op, 898331600.00 ns, 856.7158 ns/op

WorkloadResult   1: 1048576 op, 885233100.00 ns, 844.2241 ns/op
WorkloadResult   2: 1048576 op, 883778500.00 ns, 842.8369 ns/op
WorkloadResult   3: 1048576 op, 894573900.00 ns, 853.1322 ns/op
WorkloadResult   4: 1048576 op, 888294500.00 ns, 847.1437 ns/op
WorkloadResult   5: 1048576 op, 886841900.00 ns, 845.7583 ns/op
WorkloadResult   6: 1048576 op, 881373300.00 ns, 840.5431 ns/op
WorkloadResult   7: 1048576 op, 880476000.00 ns, 839.6873 ns/op
WorkloadResult   8: 1048576 op, 877441300.00 ns, 836.7932 ns/op
WorkloadResult   9: 1048576 op, 887267800.00 ns, 846.1645 ns/op
WorkloadResult  10: 1048576 op, 878474500.00 ns, 837.7786 ns/op
WorkloadResult  11: 1048576 op, 903836700.00 ns, 861.9658 ns/op
WorkloadResult  12: 1048576 op, 884322100.00 ns, 843.3553 ns/op
WorkloadResult  13: 1048576 op, 876887600.00 ns, 836.2652 ns/op
WorkloadResult  14: 1048576 op, 893345400.00 ns, 851.9606 ns/op
GC:  101 0 0 1895825408 1048576


Mean = 844.8292 ns, StdErr = 1.9049 ns (0.23%); N = 14, StdDev = 7.1275 ns
Min = 836.2652 ns, Q1 = 839.6873 ns, Median = 843.7897 ns, Q3 = 847.1437 ns, Max = 861.9658 ns
IQR = 7.4563 ns, LowerFence = 828.5029 ns, UpperFence = 858.3281 ns
ConfidenceInterval = [836.7889 ns; 852.8694 ns] (CI 99.9%), Margin = 8.0403 ns (0.95% of Mean)
Skewness = 0.84, Kurtosis = 2.95, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 392300.00 ns, 392.3000 us/op
WorkloadJitting  1: 1 op, 431100.00 ns, 431.1000 us/op

OverheadJitting  2: 16 op, 1177200.00 ns, 73.5750 us/op
WorkloadJitting  2: 16 op, 1014400.00 ns, 63.4000 us/op

WorkloadPilot    1: 16 op, 28600.00 ns, 1.7875 us/op
WorkloadPilot    2: 32 op, 39000.00 ns, 1.2188 us/op
WorkloadPilot    3: 64 op, 70000.00 ns, 1.0938 us/op
WorkloadPilot    4: 128 op, 136700.00 ns, 1.0680 us/op
WorkloadPilot    5: 256 op, 375600.00 ns, 1.4672 us/op
WorkloadPilot    6: 512 op, 430400.00 ns, 840.6250 ns/op
WorkloadPilot    7: 1024 op, 918700.00 ns, 897.1680 ns/op
WorkloadPilot    8: 2048 op, 1998700.00 ns, 975.9277 ns/op
WorkloadPilot    9: 4096 op, 3484800.00 ns, 850.7812 ns/op
WorkloadPilot   10: 8192 op, 6934100.00 ns, 846.4478 ns/op
WorkloadPilot   11: 16384 op, 16310600.00 ns, 995.5200 ns/op
WorkloadPilot   12: 32768 op, 30540100.00 ns, 932.0099 ns/op
WorkloadPilot   13: 65536 op, 59912000.00 ns, 914.1846 ns/op
WorkloadPilot   14: 131072 op, 122049700.00 ns, 931.1653 ns/op
WorkloadPilot   15: 262144 op, 239708100.00 ns, 914.4138 ns/op
WorkloadPilot   16: 524288 op, 479948700.00 ns, 915.4295 ns/op
WorkloadPilot   17: 1048576 op, 961841800.00 ns, 917.2838 ns/op

OverheadWarmup   1: 1048576 op, 4956300.00 ns, 4.7267 ns/op
OverheadWarmup   2: 1048576 op, 4939100.00 ns, 4.7103 ns/op
OverheadWarmup   3: 1048576 op, 5008200.00 ns, 4.7762 ns/op
OverheadWarmup   4: 1048576 op, 5061600.00 ns, 4.8271 ns/op
OverheadWarmup   5: 1048576 op, 4996800.00 ns, 4.7653 ns/op
OverheadWarmup   6: 1048576 op, 5001200.00 ns, 4.7695 ns/op
OverheadWarmup   7: 1048576 op, 5028400.00 ns, 4.7955 ns/op
OverheadWarmup   8: 1048576 op, 5008800.00 ns, 4.7768 ns/op

OverheadActual   1: 1048576 op, 5532600.00 ns, 5.2763 ns/op
OverheadActual   2: 1048576 op, 4982100.00 ns, 4.7513 ns/op
OverheadActual   3: 1048576 op, 5880800.00 ns, 5.6084 ns/op
OverheadActual   4: 1048576 op, 5387000.00 ns, 5.1374 ns/op
OverheadActual   5: 1048576 op, 5365900.00 ns, 5.1173 ns/op
OverheadActual   6: 1048576 op, 5027900.00 ns, 4.7950 ns/op
OverheadActual   7: 1048576 op, 5175300.00 ns, 4.9356 ns/op
OverheadActual   8: 1048576 op, 5271400.00 ns, 5.0272 ns/op
OverheadActual   9: 1048576 op, 4871900.00 ns, 4.6462 ns/op
OverheadActual  10: 1048576 op, 5680700.00 ns, 5.4175 ns/op
OverheadActual  11: 1048576 op, 4981400.00 ns, 4.7506 ns/op
OverheadActual  12: 1048576 op, 5471700.00 ns, 5.2182 ns/op
OverheadActual  13: 1048576 op, 5019100.00 ns, 4.7866 ns/op
OverheadActual  14: 1048576 op, 5752500.00 ns, 5.4860 ns/op
OverheadActual  15: 1048576 op, 4900500.00 ns, 4.6735 ns/op
OverheadActual  16: 1048576 op, 5073000.00 ns, 4.8380 ns/op
OverheadActual  17: 1048576 op, 5133800.00 ns, 4.8960 ns/op
OverheadActual  18: 1048576 op, 4970100.00 ns, 4.7399 ns/op
OverheadActual  19: 1048576 op, 5127500.00 ns, 4.8900 ns/op
OverheadActual  20: 1048576 op, 5116600.00 ns, 4.8796 ns/op

WorkloadWarmup   1: 1048576 op, 967719000.00 ns, 922.8888 ns/op
WorkloadWarmup   2: 1048576 op, 986207900.00 ns, 940.5211 ns/op
WorkloadWarmup   3: 1048576 op, 967575700.00 ns, 922.7521 ns/op
WorkloadWarmup   4: 1048576 op, 967310200.00 ns, 922.4989 ns/op
WorkloadWarmup   5: 1048576 op, 971570700.00 ns, 926.5620 ns/op
WorkloadWarmup   6: 1048576 op, 984608300.00 ns, 938.9956 ns/op
WorkloadWarmup   7: 1048576 op, 988848500.00 ns, 943.0394 ns/op
WorkloadWarmup   8: 1048576 op, 974222200.00 ns, 929.0907 ns/op

WorkloadActual   1: 1048576 op, 970605700.00 ns, 925.6417 ns/op
WorkloadActual   2: 1048576 op, 975947900.00 ns, 930.7364 ns/op
WorkloadActual   3: 1048576 op, 963563700.00 ns, 918.9260 ns/op
WorkloadActual   4: 1048576 op, 968554900.00 ns, 923.6859 ns/op
WorkloadActual   5: 1048576 op, 965865500.00 ns, 921.1211 ns/op
WorkloadActual   6: 1048576 op, 963117000.00 ns, 918.4999 ns/op
WorkloadActual   7: 1048576 op, 960904800.00 ns, 916.3902 ns/op
WorkloadActual   8: 1048576 op, 968872000.00 ns, 923.9883 ns/op
WorkloadActual   9: 1048576 op, 986804500.00 ns, 941.0901 ns/op
WorkloadActual  10: 1048576 op, 977165000.00 ns, 931.8972 ns/op
WorkloadActual  11: 1048576 op, 971380100.00 ns, 926.3803 ns/op
WorkloadActual  12: 1048576 op, 965937600.00 ns, 921.1899 ns/op
WorkloadActual  13: 1048576 op, 961124000.00 ns, 916.5993 ns/op
WorkloadActual  14: 1048576 op, 964368900.00 ns, 919.6939 ns/op
WorkloadActual  15: 1048576 op, 974291700.00 ns, 929.1570 ns/op

WorkloadResult   1: 1048576 op, 965475050.00 ns, 920.7488 ns/op
WorkloadResult   2: 1048576 op, 970817250.00 ns, 925.8435 ns/op
WorkloadResult   3: 1048576 op, 958433050.00 ns, 914.0330 ns/op
WorkloadResult   4: 1048576 op, 963424250.00 ns, 918.7930 ns/op
WorkloadResult   5: 1048576 op, 960734850.00 ns, 916.2282 ns/op
WorkloadResult   6: 1048576 op, 957986350.00 ns, 913.6070 ns/op
WorkloadResult   7: 1048576 op, 955774150.00 ns, 911.4973 ns/op
WorkloadResult   8: 1048576 op, 963741350.00 ns, 919.0954 ns/op
WorkloadResult   9: 1048576 op, 981673850.00 ns, 936.1971 ns/op
WorkloadResult  10: 1048576 op, 972034350.00 ns, 927.0042 ns/op
WorkloadResult  11: 1048576 op, 966249450.00 ns, 921.4873 ns/op
WorkloadResult  12: 1048576 op, 960806950.00 ns, 916.2969 ns/op
WorkloadResult  13: 1048576 op, 955993350.00 ns, 911.7063 ns/op
WorkloadResult  14: 1048576 op, 959238250.00 ns, 914.8009 ns/op
WorkloadResult  15: 1048576 op, 969161050.00 ns, 924.2640 ns/op
GC:  101 0 0 1895825408 1048576


Mean = 919.4402 ns, StdErr = 1.7411 ns (0.19%); N = 15, StdDev = 6.7433 ns
Min = 911.4973 ns, Q1 = 914.0330 ns, Median = 918.7930 ns, Q3 = 924.2640 ns, Max = 936.1971 ns
IQR = 10.2310 ns, LowerFence = 898.6865 ns, UpperFence = 939.6105 ns
ConfidenceInterval = [912.2312 ns; 926.6492 ns] (CI 99.9%), Margin = 7.2090 ns (0.78% of Mean)
Skewness = 0.88, Kurtosis = 3.05, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 577200.00 ns, 577.2000 us/op
WorkloadJitting  1: 1 op, 308800.00 ns, 308.8000 us/op

OverheadJitting  2: 16 op, 979800.00 ns, 61.2375 us/op
WorkloadJitting  2: 16 op, 1022900.00 ns, 63.9312 us/op

WorkloadPilot    1: 16 op, 33900.00 ns, 2.1187 us/op
WorkloadPilot    2: 32 op, 43200.00 ns, 1.3500 us/op
WorkloadPilot    3: 64 op, 65700.00 ns, 1.0266 us/op
WorkloadPilot    4: 128 op, 125300.00 ns, 978.9063 ns/op
WorkloadPilot    5: 256 op, 196800.00 ns, 768.7500 ns/op
WorkloadPilot    6: 512 op, 380600.00 ns, 743.3594 ns/op
WorkloadPilot    7: 1024 op, 1022600.00 ns, 998.6328 ns/op
WorkloadPilot    8: 2048 op, 1596200.00 ns, 779.3945 ns/op
WorkloadPilot    9: 4096 op, 3542500.00 ns, 864.8682 ns/op
WorkloadPilot   10: 8192 op, 6178700.00 ns, 754.2358 ns/op
WorkloadPilot   11: 16384 op, 14216900.00 ns, 867.7307 ns/op
WorkloadPilot   12: 32768 op, 27508600.00 ns, 839.4958 ns/op
WorkloadPilot   13: 65536 op, 53683300.00 ns, 819.1422 ns/op
WorkloadPilot   14: 131072 op, 109347500.00 ns, 834.2552 ns/op
WorkloadPilot   15: 262144 op, 219504200.00 ns, 837.3421 ns/op
WorkloadPilot   16: 524288 op, 432257300.00 ns, 824.4654 ns/op
WorkloadPilot   17: 1048576 op, 860521500.00 ns, 820.6573 ns/op

OverheadWarmup   1: 1048576 op, 4949100.00 ns, 4.7198 ns/op
OverheadWarmup   2: 1048576 op, 5008300.00 ns, 4.7763 ns/op
OverheadWarmup   3: 1048576 op, 5102800.00 ns, 4.8664 ns/op
OverheadWarmup   4: 1048576 op, 4986700.00 ns, 4.7557 ns/op
OverheadWarmup   5: 1048576 op, 5031400.00 ns, 4.7983 ns/op
OverheadWarmup   6: 1048576 op, 4972900.00 ns, 4.7425 ns/op

OverheadActual   1: 1048576 op, 4941100.00 ns, 4.7122 ns/op
OverheadActual   2: 1048576 op, 5128200.00 ns, 4.8906 ns/op
OverheadActual   3: 1048576 op, 4917200.00 ns, 4.6894 ns/op
OverheadActual   4: 1048576 op, 5035100.00 ns, 4.8018 ns/op
OverheadActual   5: 1048576 op, 5021900.00 ns, 4.7893 ns/op
OverheadActual   6: 1048576 op, 5727900.00 ns, 5.4626 ns/op
OverheadActual   7: 1048576 op, 4977400.00 ns, 4.7468 ns/op
OverheadActual   8: 1048576 op, 4970500.00 ns, 4.7402 ns/op
OverheadActual   9: 1048576 op, 4953600.00 ns, 4.7241 ns/op
OverheadActual  10: 1048576 op, 4940900.00 ns, 4.7120 ns/op
OverheadActual  11: 1048576 op, 4950300.00 ns, 4.7210 ns/op
OverheadActual  12: 1048576 op, 5029300.00 ns, 4.7963 ns/op
OverheadActual  13: 1048576 op, 5605500.00 ns, 5.3458 ns/op
OverheadActual  14: 1048576 op, 5013600.00 ns, 4.7813 ns/op
OverheadActual  15: 1048576 op, 4975900.00 ns, 4.7454 ns/op

WorkloadWarmup   1: 1048576 op, 866421000.00 ns, 826.2835 ns/op
WorkloadWarmup   2: 1048576 op, 872864400.00 ns, 832.4284 ns/op
WorkloadWarmup   3: 1048576 op, 1056860500.00 ns, 1.0079 us/op
WorkloadWarmup   4: 1048576 op, 860278300.00 ns, 820.4253 ns/op
WorkloadWarmup   5: 1048576 op, 852711400.00 ns, 813.2090 ns/op
WorkloadWarmup   6: 1048576 op, 857894800.00 ns, 818.1522 ns/op
WorkloadWarmup   7: 1048576 op, 863444300.00 ns, 823.4447 ns/op
WorkloadWarmup   8: 1048576 op, 868579700.00 ns, 828.3422 ns/op
WorkloadWarmup   9: 1048576 op, 858301500.00 ns, 818.5401 ns/op

WorkloadActual   1: 1048576 op, 854911000.00 ns, 815.3067 ns/op
WorkloadActual   2: 1048576 op, 863450900.00 ns, 823.4509 ns/op
WorkloadActual   3: 1048576 op, 855994100.00 ns, 816.3396 ns/op
WorkloadActual   4: 1048576 op, 871916400.00 ns, 831.5243 ns/op
WorkloadActual   5: 1048576 op, 859318300.00 ns, 819.5098 ns/op
WorkloadActual   6: 1048576 op, 853577200.00 ns, 814.0347 ns/op
WorkloadActual   7: 1048576 op, 862104400.00 ns, 822.1668 ns/op
WorkloadActual   8: 1048576 op, 856706800.00 ns, 817.0193 ns/op
WorkloadActual   9: 1048576 op, 864611200.00 ns, 824.5575 ns/op
WorkloadActual  10: 1048576 op, 851760700.00 ns, 812.3023 ns/op
WorkloadActual  11: 1048576 op, 860928200.00 ns, 821.0451 ns/op
WorkloadActual  12: 1048576 op, 854470600.00 ns, 814.8867 ns/op
WorkloadActual  13: 1048576 op, 855092000.00 ns, 815.4793 ns/op
WorkloadActual  14: 1048576 op, 851838000.00 ns, 812.3760 ns/op
WorkloadActual  15: 1048576 op, 880209400.00 ns, 839.4331 ns/op

WorkloadResult   1: 1048576 op, 849933600.00 ns, 810.5598 ns/op
WorkloadResult   2: 1048576 op, 858473500.00 ns, 818.7041 ns/op
WorkloadResult   3: 1048576 op, 851016700.00 ns, 811.5928 ns/op
WorkloadResult   4: 1048576 op, 866939000.00 ns, 826.7775 ns/op
WorkloadResult   5: 1048576 op, 854340900.00 ns, 814.7630 ns/op
WorkloadResult   6: 1048576 op, 848599800.00 ns, 809.2878 ns/op
WorkloadResult   7: 1048576 op, 857127000.00 ns, 817.4200 ns/op
WorkloadResult   8: 1048576 op, 851729400.00 ns, 812.2725 ns/op
WorkloadResult   9: 1048576 op, 859633800.00 ns, 819.8107 ns/op
WorkloadResult  10: 1048576 op, 846783300.00 ns, 807.5555 ns/op
WorkloadResult  11: 1048576 op, 855950800.00 ns, 816.2983 ns/op
WorkloadResult  12: 1048576 op, 849493200.00 ns, 810.1398 ns/op
WorkloadResult  13: 1048576 op, 850114600.00 ns, 810.7325 ns/op
WorkloadResult  14: 1048576 op, 846860600.00 ns, 807.6292 ns/op
GC:  101 0 0 1895825408 1048576


Mean = 813.8245 ns, StdErr = 1.4578 ns (0.18%); N = 14, StdDev = 5.4547 ns
Min = 807.5555 ns, Q1 = 810.1398 ns, Median = 811.9326 ns, Q3 = 817.4200 ns, Max = 826.7775 ns
IQR = 7.2802 ns, LowerFence = 799.2196 ns, UpperFence = 828.3402 ns
ConfidenceInterval = [807.6713 ns; 819.9778 ns] (CI 99.9%), Margin = 6.1533 ns (0.76% of Mean)
Skewness = 0.82, Kurtosis = 2.75, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 488700.00 ns, 488.7000 us/op
WorkloadJitting  1: 1 op, 319500.00 ns, 319.5000 us/op

OverheadJitting  2: 16 op, 1079800.00 ns, 67.4875 us/op
WorkloadJitting  2: 16 op, 1019900.00 ns, 63.7437 us/op

