// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.14 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

ConfidenceInterval = [85.6739 ns; 86.6287 ns] (CI 99.9%), Margin = 0.4774 ns (0.55% of Mean)
Skewness = 0, Kurtosis = 1.73, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 364300.00 ns, 364.3000 us/op
WorkloadJitting  1: 1 op, 4557900.00 ns, 4.5579 ms/op

OverheadJitting  2: 16 op, 1104600.00 ns, 69.0375 us/op
WorkloadJitting  2: 16 op, 1002900.00 ns, 62.6812 us/op

WorkloadPilot    1: 16 op, 10900.00 ns, 681.2500 ns/op
WorkloadPilot    2: 32 op, 10000.00 ns, 312.5000 ns/op
WorkloadPilot    3: 64 op, 10700.00 ns, 167.1875 ns/op
WorkloadPilot    4: 128 op, 27900.00 ns, 217.9688 ns/op
WorkloadPilot    5: 256 op, 35300.00 ns, 137.8906 ns/op
WorkloadPilot    6: 512 op, 71900.00 ns, 140.4297 ns/op
WorkloadPilot    7: 1024 op, 148200.00 ns, 144.7266 ns/op
WorkloadPilot    8: 2048 op, 245000.00 ns, 119.6289 ns/op
WorkloadPilot    9: 4096 op, 520400.00 ns, 127.0508 ns/op
WorkloadPilot   10: 8192 op, 703400.00 ns, 85.8643 ns/op
WorkloadPilot   11: 16384 op, 1451400.00 ns, 88.5864 ns/op
WorkloadPilot   12: 32768 op, 3013100.00 ns, 91.9525 ns/op
WorkloadPilot   13: 65536 op, 6603200.00 ns, 100.7568 ns/op
WorkloadPilot   14: 131072 op, 11852000.00 ns, 90.4236 ns/op
WorkloadPilot   15: 262144 op, 23815300.00 ns, 90.8482 ns/op
WorkloadPilot   16: 524288 op, 47537600.00 ns, 90.6708 ns/op
WorkloadPilot   17: 1048576 op, 96382800.00 ns, 91.9178 ns/op
WorkloadPilot   18: 2097152 op, 188464000.00 ns, 89.8666 ns/op
WorkloadPilot   19: 4194304 op, 378500600.00 ns, 90.2416 ns/op
WorkloadPilot   20: 8388608 op, 758852000.00 ns, 90.4622 ns/op

OverheadWarmup   1: 8388608 op, 40527500.00 ns, 4.8313 ns/op
OverheadWarmup   2: 8388608 op, 40488900.00 ns, 4.8267 ns/op
OverheadWarmup   3: 8388608 op, 44891900.00 ns, 5.3515 ns/op
OverheadWarmup   4: 8388608 op, 40704700.00 ns, 4.8524 ns/op
OverheadWarmup   5: 8388608 op, 40425600.00 ns, 4.8191 ns/op
OverheadWarmup   6: 8388608 op, 40541100.00 ns, 4.8329 ns/op
OverheadWarmup   7: 8388608 op, 40768800.00 ns, 4.8600 ns/op
OverheadWarmup   8: 8388608 op, 42457700.00 ns, 5.0614 ns/op
OverheadWarmup   9: 8388608 op, 40168600.00 ns, 4.7885 ns/op

OverheadActual   1: 8388608 op, 40598400.00 ns, 4.8397 ns/op
OverheadActual   2: 8388608 op, 41784900.00 ns, 4.9811 ns/op
OverheadActual   3: 8388608 op, 40789600.00 ns, 4.8625 ns/op
OverheadActual   4: 8388608 op, 40669700.00 ns, 4.8482 ns/op
OverheadActual   5: 8388608 op, 40664600.00 ns, 4.8476 ns/op
OverheadActual   6: 8388608 op, 40569200.00 ns, 4.8362 ns/op
OverheadActual   7: 8388608 op, 40751100.00 ns, 4.8579 ns/op
OverheadActual   8: 8388608 op, 40521100.00 ns, 4.8305 ns/op
OverheadActual   9: 8388608 op, 40565800.00 ns, 4.8358 ns/op
OverheadActual  10: 8388608 op, 40581400.00 ns, 4.8377 ns/op
OverheadActual  11: 8388608 op, 40505300.00 ns, 4.8286 ns/op
OverheadActual  12: 8388608 op, 40613900.00 ns, 4.8416 ns/op
OverheadActual  13: 8388608 op, 40624400.00 ns, 4.8428 ns/op
OverheadActual  14: 8388608 op, 40532600.00 ns, 4.8319 ns/op
OverheadActual  15: 8388608 op, 40528700.00 ns, 4.8314 ns/op

WorkloadWarmup   1: 8388608 op, 798875800.00 ns, 95.2334 ns/op
WorkloadWarmup   2: 8388608 op, 805788200.00 ns, 96.0574 ns/op
WorkloadWarmup   3: 8388608 op, 800205000.00 ns, 95.3919 ns/op
WorkloadWarmup   4: 8388608 op, 807599300.00 ns, 96.2733 ns/op
WorkloadWarmup   5: 8388608 op, 802773800.00 ns, 95.6981 ns/op
WorkloadWarmup   6: 8388608 op, 801335200.00 ns, 95.5266 ns/op

WorkloadActual   1: 8388608 op, 780042400.00 ns, 92.9883 ns/op
WorkloadActual   2: 8388608 op, 782008700.00 ns, 93.2227 ns/op
WorkloadActual   3: 8388608 op, 784792100.00 ns, 93.5545 ns/op
WorkloadActual   4: 8388608 op, 780269900.00 ns, 93.0154 ns/op
WorkloadActual   5: 8388608 op, 786075000.00 ns, 93.7074 ns/op
WorkloadActual   6: 8388608 op, 780336800.00 ns, 93.0234 ns/op
WorkloadActual   7: 8388608 op, 785101300.00 ns, 93.5914 ns/op
WorkloadActual   8: 8388608 op, 780752900.00 ns, 93.0730 ns/op
WorkloadActual   9: 8388608 op, 784254400.00 ns, 93.4904 ns/op
WorkloadActual  10: 8388608 op, 778113000.00 ns, 92.7583 ns/op
WorkloadActual  11: 8388608 op, 783370100.00 ns, 93.3850 ns/op
WorkloadActual  12: 8388608 op, 777646800.00 ns, 92.7027 ns/op
WorkloadActual  13: 8388608 op, 783363800.00 ns, 93.3842 ns/op
WorkloadActual  14: 8388608 op, 865105500.00 ns, 103.1286 ns/op
WorkloadActual  15: 8388608 op, 784413500.00 ns, 93.5094 ns/op

WorkloadResult   1: 8388608 op, 739444000.00 ns, 88.1486 ns/op
WorkloadResult   2: 8388608 op, 741410300.00 ns, 88.3830 ns/op
WorkloadResult   3: 8388608 op, 744193700.00 ns, 88.7148 ns/op
WorkloadResult   4: 8388608 op, 739671500.00 ns, 88.1757 ns/op
WorkloadResult   5: 8388608 op, 745476600.00 ns, 88.8677 ns/op
WorkloadResult   6: 8388608 op, 739738400.00 ns, 88.1837 ns/op
WorkloadResult   7: 8388608 op, 744502900.00 ns, 88.7517 ns/op
WorkloadResult   8: 8388608 op, 740154500.00 ns, 88.2333 ns/op
WorkloadResult   9: 8388608 op, 743656000.00 ns, 88.6507 ns/op
WorkloadResult  10: 8388608 op, 737514600.00 ns, 87.9186 ns/op
WorkloadResult  11: 8388608 op, 742771700.00 ns, 88.5453 ns/op
WorkloadResult  12: 8388608 op, 737048400.00 ns, 87.8630 ns/op
WorkloadResult  13: 8388608 op, 742765400.00 ns, 88.5445 ns/op
WorkloadResult  14: 8388608 op, 743815100.00 ns, 88.6697 ns/op
GC:  46 0 0 872415232 8388608


Mean = 88.4036 ns, StdErr = 0.0854 ns (0.10%); N = 14, StdDev = 0.3195 ns
Min = 87.8630 ns, Q1 = 88.1757 ns, Median = 88.4638 ns, Q3 = 88.6697 ns, Max = 88.8677 ns
IQR = 0.4940 ns, LowerFence = 87.4348 ns, UpperFence = 89.4106 ns
ConfidenceInterval = [88.0431 ns; 88.7641 ns] (CI 99.9%), Margin = 0.3605 ns (0.41% of Mean)
Skewness = -0.23, Kurtosis = 1.58, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 452700.00 ns, 452.7000 us/op
WorkloadJitting  1: 1 op, 375700.00 ns, 375.7000 us/op

OverheadJitting  2: 16 op, 994300.00 ns, 62.1437 us/op
WorkloadJitting  2: 16 op, 1354600.00 ns, 84.6625 us/op

WorkloadPilot    1: 16 op, 29200.00 ns, 1.8250 us/op
WorkloadPilot    2: 32 op, 42700.00 ns, 1.3344 us/op
WorkloadPilot    3: 64 op, 66900.00 ns, 1.0453 us/op
WorkloadPilot    4: 128 op, 147800.00 ns, 1.1547 us/op
WorkloadPilot    5: 256 op, 190800.00 ns, 745.3125 ns/op
WorkloadPilot    6: 512 op, 364600.00 ns, 712.1094 ns/op
WorkloadPilot    7: 1024 op, 720700.00 ns, 703.8086 ns/op
WorkloadPilot    8: 2048 op, 1479300.00 ns, 722.3145 ns/op
WorkloadPilot    9: 4096 op, 3162300.00 ns, 772.0459 ns/op
WorkloadPilot   10: 8192 op, 6068300.00 ns, 740.7593 ns/op
WorkloadPilot   11: 16384 op, 12547900.00 ns, 765.8630 ns/op
WorkloadPilot   12: 32768 op, 24943700.00 ns, 761.2213 ns/op
WorkloadPilot   13: 65536 op, 50629800.00 ns, 772.5494 ns/op
WorkloadPilot   14: 131072 op, 102863700.00 ns, 784.7878 ns/op
WorkloadPilot   15: 262144 op, 203368100.00 ns, 775.7877 ns/op
WorkloadPilot   16: 524288 op, 408007900.00 ns, 778.2133 ns/op
WorkloadPilot   17: 1048576 op, 834702400.00 ns, 796.0342 ns/op

OverheadWarmup   1: 1048576 op, 5156800.00 ns, 4.9179 ns/op
OverheadWarmup   2: 1048576 op, 5068200.00 ns, 4.8334 ns/op
OverheadWarmup   3: 1048576 op, 5498800.00 ns, 5.2441 ns/op
OverheadWarmup   4: 1048576 op, 5119700.00 ns, 4.8825 ns/op
OverheadWarmup   5: 1048576 op, 5029300.00 ns, 4.7963 ns/op
OverheadWarmup   6: 1048576 op, 5091600.00 ns, 4.8557 ns/op
OverheadWarmup   7: 1048576 op, 5109900.00 ns, 4.8732 ns/op
OverheadWarmup   8: 1048576 op, 5092900.00 ns, 4.8570 ns/op

OverheadActual   1: 1048576 op, 5133900.00 ns, 4.8961 ns/op
OverheadActual   2: 1048576 op, 5123000.00 ns, 4.8857 ns/op
OverheadActual   3: 1048576 op, 5092400.00 ns, 4.8565 ns/op
OverheadActual   4: 1048576 op, 5116200.00 ns, 4.8792 ns/op
OverheadActual   5: 1048576 op, 5135000.00 ns, 4.8971 ns/op
OverheadActual   6: 1048576 op, 5071900.00 ns, 4.8369 ns/op
OverheadActual   7: 1048576 op, 5225300.00 ns, 4.9832 ns/op
OverheadActual   8: 1048576 op, 5105700.00 ns, 4.8692 ns/op
OverheadActual   9: 1048576 op, 5103000.00 ns, 4.8666 ns/op
OverheadActual  10: 1048576 op, 5103400.00 ns, 4.8670 ns/op
OverheadActual  11: 1048576 op, 5063000.00 ns, 4.8285 ns/op
OverheadActual  12: 1048576 op, 5122900.00 ns, 4.8856 ns/op
OverheadActual  13: 1048576 op, 5069800.00 ns, 4.8349 ns/op
OverheadActual  14: 1048576 op, 5161800.00 ns, 4.9227 ns/op
OverheadActual  15: 1048576 op, 5105400.00 ns, 4.8689 ns/op

WorkloadWarmup   1: 1048576 op, 820585300.00 ns, 782.5711 ns/op
WorkloadWarmup   2: 1048576 op, 818026900.00 ns, 780.1312 ns/op
WorkloadWarmup   3: 1048576 op, 812469300.00 ns, 774.8311 ns/op
WorkloadWarmup   4: 1048576 op, 813838500.00 ns, 776.1369 ns/op
WorkloadWarmup   5: 1048576 op, 814056600.00 ns, 776.3449 ns/op
WorkloadWarmup   6: 1048576 op, 810662400.00 ns, 773.1079 ns/op
WorkloadWarmup   7: 1048576 op, 815082700.00 ns, 777.3234 ns/op
WorkloadWarmup   8: 1048576 op, 821754400.00 ns, 783.6861 ns/op
WorkloadWarmup   9: 1048576 op, 823877900.00 ns, 785.7112 ns/op
WorkloadWarmup  10: 1048576 op, 818686600.00 ns, 780.7604 ns/op

WorkloadActual   1: 1048576 op, 819873400.00 ns, 781.8922 ns/op
WorkloadActual   2: 1048576 op, 845451700.00 ns, 806.2856 ns/op
WorkloadActual   3: 1048576 op, 811649700.00 ns, 774.0495 ns/op
WorkloadActual   4: 1048576 op, 812684200.00 ns, 775.0360 ns/op
WorkloadActual   5: 1048576 op, 820968600.00 ns, 782.9367 ns/op
WorkloadActual   6: 1048576 op, 807445900.00 ns, 770.0404 ns/op
WorkloadActual   7: 1048576 op, 817733000.00 ns, 779.8510 ns/op
WorkloadActual   8: 1048576 op, 813585700.00 ns, 775.8958 ns/op
WorkloadActual   9: 1048576 op, 809476000.00 ns, 771.9765 ns/op
WorkloadActual  10: 1048576 op, 807208100.00 ns, 769.8136 ns/op
WorkloadActual  11: 1048576 op, 814291400.00 ns, 776.5688 ns/op
WorkloadActual  12: 1048576 op, 819725400.00 ns, 781.7511 ns/op
WorkloadActual  13: 1048576 op, 818572200.00 ns, 780.6513 ns/op
WorkloadActual  14: 1048576 op, 890423300.00 ns, 849.1738 ns/op
WorkloadActual  15: 1048576 op, 817292600.00 ns, 779.4310 ns/op

WorkloadResult   1: 1048576 op, 814767700.00 ns, 777.0230 ns/op
WorkloadResult   2: 1048576 op, 806544000.00 ns, 769.1803 ns/op
WorkloadResult   3: 1048576 op, 807578500.00 ns, 770.1669 ns/op
WorkloadResult   4: 1048576 op, 815862900.00 ns, 778.0675 ns/op
WorkloadResult   5: 1048576 op, 802340200.00 ns, 765.1712 ns/op
WorkloadResult   6: 1048576 op, 812627300.00 ns, 774.9818 ns/op
WorkloadResult   7: 1048576 op, 808480000.00 ns, 771.0266 ns/op
WorkloadResult   8: 1048576 op, 804370300.00 ns, 767.1073 ns/op
WorkloadResult   9: 1048576 op, 802102400.00 ns, 764.9445 ns/op
WorkloadResult  10: 1048576 op, 809185700.00 ns, 771.6996 ns/op
WorkloadResult  11: 1048576 op, 814619700.00 ns, 776.8819 ns/op
WorkloadResult  12: 1048576 op, 813466500.00 ns, 775.7821 ns/op
WorkloadResult  13: 1048576 op, 812186900.00 ns, 774.5618 ns/op
GC:  101 0 0 1895825408 1048576


Mean = 772.0457 ns, StdErr = 1.2616 ns (0.16%); N = 13, StdDev = 4.5489 ns
Min = 764.9445 ns, Q1 = 768.1438 ns, Median = 771.6996 ns, Q3 = 776.3320 ns, Max = 778.0675 ns
IQR = 8.1882 ns, LowerFence = 755.8615 ns, UpperFence = 788.6143 ns
ConfidenceInterval = [766.5983 ns; 777.4932 ns] (CI 99.9%), Margin = 5.4475 ns (0.71% of Mean)
Skewness = -0.23, Kurtosis = 1.48, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 638600.00 ns, 638.6000 us/op
WorkloadJitting  1: 1 op, 318100.00 ns, 318.1000 us/op

OverheadJitting  2: 16 op, 1337400.00 ns, 83.5875 us/op
WorkloadJitting  2: 16 op, 1358500.00 ns, 84.9062 us/op

WorkloadPilot    1: 16 op, 34700.00 ns, 2.1688 us/op
WorkloadPilot    2: 32 op, 40000.00 ns, 1.2500 us/op
WorkloadPilot    3: 64 op, 77100.00 ns, 1.2047 us/op
WorkloadPilot    4: 128 op, 115500.00 ns, 902.3438 ns/op
WorkloadPilot    5: 256 op, 279400.00 ns, 1.0914 us/op
WorkloadPilot    6: 512 op, 533000.00 ns, 1.0410 us/op
WorkloadPilot    7: 1024 op, 849500.00 ns, 829.5898 ns/op
WorkloadPilot    8: 2048 op, 1774300.00 ns, 866.3574 ns/op
WorkloadPilot    9: 4096 op, 3283800.00 ns, 801.7090 ns/op
WorkloadPilot   10: 8192 op, 6546900.00 ns, 799.1821 ns/op
WorkloadPilot   11: 16384 op, 14633700.00 ns, 893.1702 ns/op
WorkloadPilot   12: 32768 op, 28046600.00 ns, 855.9143 ns/op
WorkloadPilot   13: 65536 op, 55581700.00 ns, 848.1094 ns/op
WorkloadPilot   14: 131072 op, 113044300.00 ns, 862.4596 ns/op
WorkloadPilot   15: 262144 op, 222932000.00 ns, 850.4181 ns/op
WorkloadPilot   16: 524288 op, 441705900.00 ns, 842.4871 ns/op
WorkloadPilot   17: 1048576 op, 889970200.00 ns, 848.7417 ns/op

OverheadWarmup   1: 1048576 op, 5138900.00 ns, 4.9008 ns/op
OverheadWarmup   2: 1048576 op, 5069600.00 ns, 4.8347 ns/op
OverheadWarmup   3: 1048576 op, 5096200.00 ns, 4.8601 ns/op
OverheadWarmup   4: 1048576 op, 5321800.00 ns, 5.0753 ns/op
OverheadWarmup   5: 1048576 op, 5080600.00 ns, 4.8452 ns/op
OverheadWarmup   6: 1048576 op, 5096800.00 ns, 4.8607 ns/op
OverheadWarmup   7: 1048576 op, 5099700.00 ns, 4.8635 ns/op
OverheadWarmup   8: 1048576 op, 5082100.00 ns, 4.8467 ns/op

OverheadActual   1: 1048576 op, 5151300.00 ns, 4.9127 ns/op
OverheadActual   2: 1048576 op, 5578500.00 ns, 5.3201 ns/op
OverheadActual   3: 1048576 op, 5113400.00 ns, 4.8765 ns/op
OverheadActual   4: 1048576 op, 5174000.00 ns, 4.9343 ns/op
OverheadActual   5: 1048576 op, 5087000.00 ns, 4.8513 ns/op
OverheadActual   6: 1048576 op, 5082400.00 ns, 4.8470 ns/op
OverheadActual   7: 1048576 op, 5081500.00 ns, 4.8461 ns/op
OverheadActual   8: 1048576 op, 5075500.00 ns, 4.8404 ns/op
OverheadActual   9: 1048576 op, 5091400.00 ns, 4.8555 ns/op
OverheadActual  10: 1048576 op, 5190800.00 ns, 4.9503 ns/op
OverheadActual  11: 1048576 op, 5113400.00 ns, 4.8765 ns/op
OverheadActual  12: 1048576 op, 5108300.00 ns, 4.8717 ns/op
OverheadActual  13: 1048576 op, 5083000.00 ns, 4.8475 ns/op
OverheadActual  14: 1048576 op, 5117700.00 ns, 4.8806 ns/op
OverheadActual  15: 1048576 op, 5126900.00 ns, 4.8894 ns/op

WorkloadWarmup   1: 1048576 op, 884691300.00 ns, 843.7074 ns/op
WorkloadWarmup   2: 1048576 op, 878959200.00 ns, 838.2408 ns/op
WorkloadWarmup   3: 1048576 op, 893724700.00 ns, 852.3223 ns/op
WorkloadWarmup   4: 1048576 op, 893320900.00 ns, 851.9372 ns/op
WorkloadWarmup   5: 1048576 op, 873858500.00 ns, 833.3764 ns/op
WorkloadWarmup   6: 1048576 op, 898650200.00 ns, 857.0196 ns/op
WorkloadWarmup   7: 1048576 op, 898145900.00 ns, 856.5387 ns/op

WorkloadActual   1: 1048576 op, 875350100.00 ns, 834.7989 ns/op
WorkloadActual   2: 1048576 op, 884203400.00 ns, 843.2421 ns/op
WorkloadActual   3: 1048576 op, 882965000.00 ns, 842.0610 ns/op
WorkloadActual   4: 1048576 op, 876283000.00 ns, 835.6886 ns/op
WorkloadActual   5: 1048576 op, 874944100.00 ns, 834.4117 ns/op
WorkloadActual   6: 1048576 op, 874665800.00 ns, 834.1463 ns/op
WorkloadActual   7: 1048576 op, 873418800.00 ns, 832.9571 ns/op
WorkloadActual   8: 1048576 op, 954485700.00 ns, 910.2685 ns/op
WorkloadActual   9: 1048576 op, 879577900.00 ns, 838.8309 ns/op
WorkloadActual  10: 1048576 op, 878336000.00 ns, 837.6465 ns/op
WorkloadActual  11: 1048576 op, 960902600.00 ns, 916.3881 ns/op
WorkloadActual  12: 1048576 op, 890315800.00 ns, 849.0713 ns/op
WorkloadActual  13: 1048576 op, 883919200.00 ns, 842.9710 ns/op
WorkloadActual  14: 1048576 op, 876843500.00 ns, 836.2231 ns/op
WorkloadActual  15: 1048576 op, 879564400.00 ns, 838.8180 ns/op

WorkloadResult   1: 1048576 op, 870236700.00 ns, 829.9224 ns/op
WorkloadResult   2: 1048576 op, 879090000.00 ns, 838.3656 ns/op
WorkloadResult   3: 1048576 op, 877851600.00 ns, 837.1845 ns/op
WorkloadResult   4: 1048576 op, 871169600.00 ns, 830.8121 ns/op
WorkloadResult   5: 1048576 op, 869830700.00 ns, 829.5352 ns/op
WorkloadResult   6: 1048576 op, 869552400.00 ns, 829.2698 ns/op
WorkloadResult   7: 1048576 op, 868305400.00 ns, 828.0806 ns/op
WorkloadResult   8: 1048576 op, 874464500.00 ns, 833.9543 ns/op
WorkloadResult   9: 1048576 op, 873222600.00 ns, 832.7700 ns/op
WorkloadResult  10: 1048576 op, 885202400.00 ns, 844.1948 ns/op
WorkloadResult  11: 1048576 op, 878805800.00 ns, 838.0945 ns/op
WorkloadResult  12: 1048576 op, 871730100.00 ns, 831.3466 ns/op
WorkloadResult  13: 1048576 op, 874451000.00 ns, 833.9415 ns/op
GC:  101 0 0 1895825408 1048576


Mean = 833.6517 ns, StdErr = 1.2935 ns (0.16%); N = 13, StdDev = 4.6639 ns
Min = 828.0806 ns, Q1 = 829.7288 ns, Median = 832.7700 ns, Q3 = 837.6395 ns, Max = 844.1948 ns
IQR = 7.9107 ns, LowerFence = 817.8627 ns, UpperFence = 849.5056 ns
ConfidenceInterval = [828.0665 ns; 839.2368 ns] (CI 99.9%), Margin = 5.5852 ns (0.67% of Mean)
Skewness = 0.75, Kurtosis = 2.49, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 389100.00 ns, 389.1000 us/op
WorkloadJitting  1: 1 op, 405000.00 ns, 405.0000 us/op

OverheadJitting  2: 16 op, 1344000.00 ns, 84.0000 us/op
WorkloadJitting  2: 16 op, 1096300.00 ns, 68.5187 us/op

WorkloadPilot    1: 16 op, 61500.00 ns, 3.8438 us/op
WorkloadPilot    2: 32 op, 26600.00 ns, 831.2500 ns/op
WorkloadPilot    3: 64 op, 74000.00 ns, 1.1562 us/op
WorkloadPilot    4: 128 op, 145000.00 ns, 1.1328 us/op
WorkloadPilot    5: 256 op, 219700.00 ns, 858.2031 ns/op
WorkloadPilot    6: 512 op, 357100.00 ns, 697.4609 ns/op
WorkloadPilot    7: 1024 op, 718500.00 ns, 701.6602 ns/op
WorkloadPilot    8: 2048 op, 1843900.00 ns, 900.3418 ns/op
WorkloadPilot    9: 4096 op, 2767000.00 ns, 675.5371 ns/op
WorkloadPilot   10: 8192 op, 6291200.00 ns, 767.9688 ns/op
WorkloadPilot   11: 16384 op, 12549400.00 ns, 765.9546 ns/op
WorkloadPilot   12: 32768 op, 24532500.00 ns, 748.6725 ns/op
WorkloadPilot   13: 65536 op, 50116500.00 ns, 764.7171 ns/op
WorkloadPilot   14: 131072 op, 98142700.00 ns, 748.7694 ns/op
WorkloadPilot   15: 262144 op, 201912700.00 ns, 770.2358 ns/op
WorkloadPilot   16: 524288 op, 388706100.00 ns, 741.3980 ns/op
WorkloadPilot   17: 1048576 op, 784544500.00 ns, 748.1999 ns/op

OverheadWarmup   1: 1048576 op, 5023100.00 ns, 4.7904 ns/op
OverheadWarmup   2: 1048576 op, 5170100.00 ns, 4.9306 ns/op
OverheadWarmup   3: 1048576 op, 5201600.00 ns, 4.9606 ns/op
OverheadWarmup   4: 1048576 op, 5063300.00 ns, 4.8287 ns/op
OverheadWarmup   5: 1048576 op, 5154900.00 ns, 4.9161 ns/op
OverheadWarmup   6: 1048576 op, 5039100.00 ns, 4.8057 ns/op

OverheadActual   1: 1048576 op, 5251400.00 ns, 5.0081 ns/op
OverheadActual   2: 1048576 op, 5196000.00 ns, 4.9553 ns/op
OverheadActual   3: 1048576 op, 5083700.00 ns, 4.8482 ns/op
OverheadActual   4: 1048576 op, 5131500.00 ns, 4.8938 ns/op
OverheadActual   5: 1048576 op, 5098000.00 ns, 4.8618 ns/op
OverheadActual   6: 1048576 op, 5043400.00 ns, 4.8098 ns/op
OverheadActual   7: 1048576 op, 5199800.00 ns, 4.9589 ns/op
OverheadActual   8: 1048576 op, 5134900.00 ns, 4.8970 ns/op
OverheadActual   9: 1048576 op, 5699800.00 ns, 5.4358 ns/op
OverheadActual  10: 1048576 op, 5171400.00 ns, 4.9318 ns/op
OverheadActual  11: 1048576 op, 5064400.00 ns, 4.8298 ns/op
OverheadActual  12: 1048576 op, 5133700.00 ns, 4.8959 ns/op
OverheadActual  13: 1048576 op, 5111700.00 ns, 4.8749 ns/op
OverheadActual  14: 1048576 op, 5130100.00 ns, 4.8924 ns/op
OverheadActual  15: 1048576 op, 5077800.00 ns, 4.8426 ns/op

WorkloadWarmup   1: 1048576 op, 785078600.00 ns, 748.7093 ns/op
WorkloadWarmup   2: 1048576 op, 796685500.00 ns, 759.7785 ns/op
WorkloadWarmup   3: 1048576 op, 791727200.00 ns, 755.0499 ns/op
WorkloadWarmup   4: 1048576 op, 845003500.00 ns, 805.8581 ns/op
WorkloadWarmup   5: 1048576 op, 786063600.00 ns, 749.6487 ns/op
WorkloadWarmup   6: 1048576 op, 790185100.00 ns, 753.5792 ns/op

WorkloadActual   1: 1048576 op, 792708200.00 ns, 755.9855 ns/op
WorkloadActual   2: 1048576 op, 844489400.00 ns, 805.3679 ns/op
WorkloadActual   3: 1048576 op, 807548800.00 ns, 770.1385 ns/op
WorkloadActual   4: 1048576 op, 786235600.00 ns, 749.8127 ns/op
WorkloadActual   5: 1048576 op, 783029100.00 ns, 746.7547 ns/op
WorkloadActual   6: 1048576 op, 790798800.00 ns, 754.1645 ns/op
